225.07245985252734 255.513269094234 7.0 6.0 7.0 6.0 None None 4.0 6.0 8.0 None 3.0 None 1.0 2.0 148.94517934828082 129.5642770534044 153.6256138676045 129.45748823831752 None None 78.49841479721165 120.70687908316533 162.0154763418853 None 69.99994211597054 None 29.99994211597054 39.99994211597054 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
245.17854956279032 234.55967131933753 6.0 4.0 6.0 4.0 None 10.0 4.0 6.0 7.0 None 2.0 None 1.0 None 164.10098502368945 122.31821980294944 167.4703237427128 122.2025955372963 None 252.24963290328904 112.75532451546263 163.33972476905907 198.29349514609456 None 49.99999803551552 None 29.999998035515517 None 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
228.72135339065488 251.43695220172523 6.0 6.0 6.0 6.0 None None 4.0 5.0 6.0 None 4.0 None 1.0 None 150.9576937934172 138.1598529415963 158.18862502176856 136.68517325942835 None None 98.99447386827305 129.70400207407826 162.3463885733176 None 89.99997621799412 None 29.999976217994117 None 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
225.1553431856782 255.41921051624445 7.0 5.0 7.0 5.0 None None 4.0 5.0 7.0 None 2.0 None 1.0 None 154.0554515948129 133.37322532496773 158.22628951220366 130.826704296309 None None 103.03502893332724 135.96899279463082 178.49190404942073 None 69.9999599168933 None 29.999959916893303 None 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
227.79179751685717 252.46299746918757 7.0 6.0 7.0 6.0 None None 4.0 6.0 8.0 None 2.0 None 1.0 None 151.72096972893246 130.58175872351745 154.1133592083694 130.4766104158068 None None 101.7270098087422 131.49028936991124 173.10565854815457 None 49.999994571219126 None 29.999994571219126 None 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
251.12954205881658 229.0013334493754 6.0 5.0 6.0 5.0 None 10.0 4.0 5.0 6.0 10.0 4.0 None 1.0 None 151.35395143807688 132.05228479921874 158.1958203144306 131.78152355507729 None 261.3795387151892 96.07916931538053 130.66323351037045 164.51517632426174 275.2767724256388 89.99994319700257 None 29.999943197002565 None 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
238.72325693290077 240.90237683111187 7.0 6.0 7.0 6.0 None 10.0 5.0 7.0 8.0 None 3.0 None 1.0 None 157.20987947174422 137.22433227510783 159.0039452593805 137.02897975981273 None 261.55821216552357 112.30385537480034 146.20939084810936 188.32370918435606 None 79.99990878625077 None 29.99990878625077 None 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
261.3819744770562 220.01899754203623 6.0 5.0 6.0 5.0 None 10.0 5.0 6.0 8.0 None 2.0 None 1.0 None 162.31497478226845 123.51105174993491 167.0359903892023 123.09510570229911 None 264.6881841903546 113.28834738717204 155.61989589869557 200.4050511942633 None 59.99996977597114 None 29.999969775971138 None 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
262.6593428365577 218.9489982687786 5.0 5.0 6.0 5.0 None 10.0 4.0 5.0 6.0 None 2.0 None 1.0 None 157.1078558196917 138.25286433132254 161.7793626776622 138.2088058380664 None 271.86186171807486 116.74676770629023 149.6783021551776 174.67879234473506 None 59.999986032696135 None 29.999986032696135 None 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0
269.235120323454 213.60140508753008 6.0 5.0 6.0 5.0 None 10.0 4.0 5.0 6.0 9.0 3.0 None 1.0 None 149.93638520069024 134.65069401224318 154.06366927653002 134.4805470762755 None 280.1229693310943 98.96456197817662 129.09901196271488 160.8723573965807 236.62871571880885 79.99994009262633 None 29.999940092626332 None 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
