scenario_id,filename,metric,mean,std,min,max,sample_count
1,listed_metrics_scenario_1.json,C2_file_count,6.091707317073171,0.9139647448769831,3.0,9.0,1025
1,listed_metrics_scenario_1.json,C2_time_elapsed,119.14900709919813,8.94910660745118,94.44477009773254,145.10709595680237,1025
1,listed_metrics_scenario_1.json,C8_file_count,4.164878048780488,0.9276227648685855,2.0,8.0,1025
1,listed_metrics_scenario_1.json,C8_time_elapsed,83.71791865930325,11.20161911446796,54.256649017333984,123.35051107406616,1025
1,listed_metrics_scenario_1.json,MA1_file_count,1.9960975609756098,0.5590033596478299,0.0,4.0,1025
1,listed_metrics_scenario_1.json,MA1_time_elapsed,44.36567178447072,5.002191107160846,22.274569988250732,54.23714780807495,1025
1,listed_metrics_scenario_1.json,goodput_bytes_per_second,75.76479212500762,7.261719629978736,56.042096409673945,106.92905965966706,1025
1,listed_metrics_scenario_1.json,latency,181.25879121105845,16.963408905554022,127.28999996185303,242.8710000514984,1025
2,listed_metrics_scenario_2.json,C2_file_count,5.241951219512195,0.780622308818029,3.0,8.0,1025
2,listed_metrics_scenario_2.json,C2_time_elapsed,115.73321160107125,9.800105304119187,86.77134799957275,154.7914469242096,1025
2,listed_metrics_scenario_2.json,C8_file_count,5.76780487804878,0.8189274384157877,4.0,9.0,1025
2,listed_metrics_scenario_2.json,C8_time_elapsed,127.41880580436893,10.988481082138025,91.64056897163391,164.16062903404236,1025
2,listed_metrics_scenario_2.json,MA1_file_count,2.74609375,0.8481965083136941,1.0,7.0,1024
2,listed_metrics_scenario_2.json,MA1_time_elapsed,62.39845687756315,15.2225065025819,33.05498480796814,153.7802231311798,1024
2,listed_metrics_scenario_2.json,goodput_bytes_per_second,277.82403966276837,25.043538677316665,212.66233764283837,373.7044234663238,1025
2,listed_metrics_scenario_2.json,latency,208.64555512893492,18.442598899236,153.88899993896484,270.42400002479553,1025
3,listed_metrics_scenario_3.json,C2_file_count,5.084,0.550678896678679,4.0,6.0,1000
3,listed_metrics_scenario_3.json,C2_time_elapsed,100.60631490898132,1.5715316744131198,95.65073800086975,105.71043705940247,1000
3,listed_metrics_scenario_3.json,C8_file_count,5.023,0.7035381766229648,3.0,7.0,1000
3,listed_metrics_scenario_3.json,C8_time_elapsed,99.81661962199212,9.22689184656796,73.8945209980011,130.54071688652039,1000
3,listed_metrics_scenario_3.json,MA1_file_count,2.001,0.28120824681733303,1.0,3.0,1000
3,listed_metrics_scenario_3.json,MA1_time_elapsed,43.483651958703994,0.43287656829710924,42.89453196525574,53.09803009033203,1000
3,listed_metrics_scenario_3.json,goodput_bytes_per_second,292.4200985436463,18.21767230830891,244.52187604640008,359.3952512962756,1000
3,listed_metrics_scenario_3.json,latency,196.10184500718117,12.190244916139399,158.94199991226196,233.61100006103516,1000
4,listed_metrics_scenario_4.json,C2_file_count,2.5610687022900764,0.6883472745951941,0.0,5.0,1048
4,listed_metrics_scenario_4.json,C2_time_elapsed,139.13606946249953,11.218623831439773,105.84614896774292,171.21339106559753,1048
4,listed_metrics_scenario_4.json,C8_file_count,2.0943755958055292,0.7014548785056951,0.0,4.0,1049
4,listed_metrics_scenario_4.json,C8_time_elapsed,116.63281664743778,12.100082597237991,77.53778004646301,162.33031797409058,1049
4,listed_metrics_scenario_4.json,MA1_file_count,1.3828571428571428,0.6129298192831472,0.0,3.0,1050
4,listed_metrics_scenario_4.json,MA1_time_elapsed,84.81907441888536,13.136547220129799,43.023334980010986,114.15054988861084,1050
4,listed_metrics_scenario_4.json,goodput_bytes_per_second,38.397523486156985,5.92748566491923,13.83591078359408,71.67261033044355,1050
4,listed_metrics_scenario_4.json,latency,230.05342856815884,37.57568274103171,120.29699993133545,623.1610000133514,1050
5,listed_metrics_scenario_5.json,C2_file_count,1.895536562203229,0.6185573042438489,0.0,4.0,1053
5,listed_metrics_scenario_5.json,C2_time_elapsed,125.71366952061086,9.669391340005896,96.64490294456482,160.8271861076355,1053
5,listed_metrics_scenario_5.json,C8_file_count,3.163546798029557,0.7289797465869798,0.0,5.0,1015
5,listed_metrics_scenario_5.json,C8_time_elapsed,195.91007239360528,16.442919079114144,142.69713807106018,245.16872692108154,1015
5,listed_metrics_scenario_5.json,MA1_file_count,0.835707502374169,0.5071517028710736,0.0,3.0,1053
5,listed_metrics_scenario_5.json,MA1_time_elapsed,61.17078471727181,17.903270471748435,22.723891973495483,183.54675889015198,1053
